"B062","Girard","72 rue de la Gare","69001","Lyon","B2","-3200.00"
"B112","Herbin","23 allée Dumont","86000","Poitiers","C1","1250.00"
"B332","Monti","112  rue Neuve","06000","Nice","B2","0.00"
"B512","Gillet","14 rue d'El Alamein","31000","Toulouse","B1","-8700.00"
"C003","Avron","8 chemin de Cluzel","31000","Toulouse","B1","-1700.00"
"C123","Mercier","25 rue Lemaitre","69003","Lyon","C1","-2300.00"
"C400","Ferard","65 rue du Touffenet","86000","Poitiers","B2","350.00"
"D063","Mercier","201 boulevard du Nord","31000","Toulouse",NULL,"-2250.00"
"F010","Toussaint","5 rue Girouard","86000","Poitiers","C1","0.00"
"F011","Poncelet","17 Clos des Erables","31000","Toulouse","B2","0.00"
"F400","Jacob","78 chemin du Moulin","33000","Bordeaux","C2","0.00"
"K111","Vigneau","18 rue Faraday","59000","Lille","B1","720.00"
"K729","Noirot","40 rue Fines","31000","Toulouse",NULL,"0.00"
"L422","Franck","60 rue Bellecordière","69003","Lyon","C1","0.00"
"S127","Vilminot","3 avenue des Roses","69001","Lyon","C1","-4580.00"
"S712","Guillaume","14a chemin des Roses","75013","Paris","B1","0.00"
